Time,Voltage,Current,Frequency,Temperature,Fault,Confidence,Grid Health,Shutdown,Area ID,Line ID,Asset ID
07-07-2026 12:03:39,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:19:41,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:22:10,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:24:08,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:24:42,270.07,5.0,50.0,30.0,Overvoltage,94.0,40,YES,Unknown,Unknown,Unknown
07-07-2026 12:26:19,300.07,5.0,50.0,30.0,Overvoltage,94.0,40,YES,Unknown,Unknown,Unknown
07-07-2026 12:27:00,300.07,11.0,70.0,30.0,Overvoltage,64.0,40,YES,Unknown,Unknown,Unknown
07-07-2026 12:30:32,240.0,11.0,30.0,30.0,Overload,69.0,45,YES,Unknown,Unknown,Unknown
07-07-2026 12:32:40,0.0,0.0,0.0,28.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
07-07-2026 12:34:33,250.0,5.0,50.0,30.0,Normal,97.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:34:46,260.0,5.0,50.0,30.0,Normal,49.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:36:28,260.0,10.0,50.0,30.0,Overload,46.0,45,YES,Unknown,Unknown,Unknown
07-07-2026 12:36:46,290.0,10.0,80.0,30.0,Overvoltage,88.0,40,YES,Unknown,Unknown,Unknown
07-07-2026 12:38:11,150.0,5.0,50.0,30.0,Undervoltage,99.0,50,YES,Unknown,Unknown,Unknown
07-07-2026 12:38:25,210.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 12:38:33,180.0,5.0,50.0,30.0,Undervoltage,99.0,50,YES,Unknown,Unknown,Unknown
07-07-2026 12:40:35,275.0,15.0,50.0,45.0,Overload,52.0,45,YES,Unknown,Unknown,Unknown
07-07-2026 12:41:05,150.0,2.0,49.0,32.0,Undervoltage,100.0,50,YES,Unknown,Unknown,Unknown
07-07-2026 12:41:35,0.0,0.0,0.0,28.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
07-07-2026 12:42:23,290.0,10.0,80.0,30.0,Overvoltage,88.0,40,YES,Unknown,Unknown,Unknown
07-07-2026 12:55:21,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 20:14:47,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
07-07-2026 20:26:14,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:04:59,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:12:28,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:22:21,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:24:26,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:36:04,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:43:14,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:45:47,0.0,0.0,0.0,0.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
08-07-2026 12:51:38,0.0,0.0,0.0,0.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
08-07-2026 12:53:14,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:55:48,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 12:57:50,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:00:49,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:02:41,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:05:02,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:13:04,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:17:31,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:18:28,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:25:18,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:27:03,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 13:28:04,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
08-07-2026 13:29:13,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 17:18:55,220.0,11.95,49.94,30.0,Overload,68.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 17:19:03,224.0,17.76,49.82,49.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 17:19:10,224.0,8.13,49.88,40.0,Normal,52.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 17:19:12,229.0,16.51,49.91,56.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 17:19:14,235.0,14.59,49.8,49.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 17:20:55,235.0,6.92,49.85,47.0,Normal,54.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:21:50,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:21:59,236.0,11.78,50.11,50.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:22:12,227.0,17.02,49.98,53.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:22:16,221.0,5.69,50.04,35.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:22:21,236.0,9.28,50.0,42.0,Overload,51.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:22:22,236.0,7.05,50.09,52.0,Normal,54.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:22:24,223.0,16.73,49.91,49.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:22:25,234.0,18.78,49.95,54.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:22:25,237.0,5.61,49.94,59.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:22:26,231.0,5.6,50.15,48.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:22:27,236.0,8.35,50.04,47.0,Normal,51.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:30:00,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:30:30,230.0,14.6,50.15,35.0,Overload,68.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:31:54,230.0,14.01,49.91,44.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 18:53:12,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 18:59:37,229.0,4.27,49.9,39.0,Normal,56.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:00:07,225.0,12.79,50.19,49.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 19:00:15,222.0,14.26,50.1,50.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 19:00:17,239.0,11.23,50.06,37.0,Overload,71.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 19:00:19,239.0,10.91,49.81,45.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 19:00:21,220.0,7.75,50.09,36.0,Normal,79.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:00:25,234.0,11.36,50.14,55.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 19:00:28,235.0,12.94,49.98,46.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 19:00:29,227.0,4.03,50.14,35.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:00:32,227.0,8.24,49.86,30.0,Normal,88.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:02:34,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:03:02,237.0,5.19,49.94,45.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:08:54,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:09:09,220.0,5.91,50.06,28.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:09:16,226.0,8.92,49.88,41.0,Normal,52.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 19:09:19,235.0,10.34,49.89,54.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 20:37:13,229.0,3.57,49.82,29.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:37:26,234.0,13.41,49.82,50.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 20:40:34,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:40:41,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:40:43,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:41:02,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
08-07-2026 20:41:20,228.0,11.16,49.96,51.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 20:41:44,220.0,11.92,49.99,41.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 20:41:47,223.0,6.59,49.86,40.0,Normal,55.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:49:56,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:50:29,223.0,13.13,49.85,53.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 20:53:52,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:54:04,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 20:54:14,229.0,13.76,50.06,52.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 21:03:37,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:04:14,234.0,6.38,49.91,33.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:04:21,234.0,5.57,49.95,33.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:04:26,223.0,10.14,49.95,44.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 21:14:35,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:14:59,233.0,12.6,49.9,53.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 21:27:42,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:27:55,231.0,7.56,49.92,45.0,Normal,54.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:00,240.0,9.89,49.84,32.0,Normal,62.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:03,225.0,6.76,49.99,46.0,Normal,54.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:06,236.0,8.19,49.92,32.0,Normal,87.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:08,223.0,7.18,49.94,40.0,Normal,55.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:10,226.0,4.28,50.1,25.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:11,224.0,5.62,49.95,47.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:12,236.0,3.09,49.85,37.0,Normal,79.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:13,220.0,7.95,50.18,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:18,226.0,14.53,50.05,44.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 21:28:49,229.0,6.12,49.87,25.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:54,221.0,5.75,50.14,54.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:28:57,222.0,12.69,50.15,50.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 21:57:01,234.0,8.96,50.06,55.0,Normal,51.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 21:57:11,239.0,12.15,49.9,31.0,Overload,68.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 22:25:24,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 22:25:40,225.0,6.71,50.08,36.0,Normal,79.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 22:25:50,225.0,4.66,50.13,54.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 22:25:59,239.0,13.2,49.81,52.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
08-07-2026 23:08:57,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 23:09:17,234.0,5.08,50.13,43.0,Normal,54.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 23:13:27,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 23:16:21,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 23:21:30,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 23:23:39,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
08-07-2026 23:24:00,227.0,11.58,50.04,53.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
09-07-2026 12:15:51,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
09-07-2026 12:16:35,222.0,5.2,50.12,48.0,Normal,53.0,100,NO,Unknown,Unknown,Unknown
09-07-2026 12:16:43,223.0,12.53,50.03,47.0,Overload,99.0,45,YES,Unknown,Unknown,Unknown
09-07-2026 12:32:08,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
09-07-2026 12:32:42,230.0,5.0,50.0,30.0,Normal,100.0,100,NO,Unknown,Unknown,Unknown
09-07-2026 12:33:06,0.0,0.0,0.0,30.0,Line Break,100.0,20,YES,Unknown,Unknown,Unknown
